Frame,Progress,VisibleTiles,RenderableTiles,MissingCount
508,0.09602,40,1,0
509,0.09619,39,1,0
510,0.09636,39,1,0
511,0.09653,39,39,0
512,0.09670,39,39,0
513,0.09687,39,1,1
514,0.09704,39,1,0
515,0.09721,39,1,0
516,0.09738,38,1,0
517,0.09755,38,38,0
518,0.09772,38,38,0
519,0.09789,38,38,0
520,0.09806,38,38,0
521,0.09823,38,38,0
522,0.09840,38,38,0
523,0.09857,37,37,0
524,0.09874,37,37,0
525,0.09891,37,37,0
526,0.09908,36,36,0
527,0.09925,36,36,0
528,0.09942,36,36,0
529,0.09959,36,36,0
530,0.09976,35,35,0
531,0.09993,35,35,0
532,0.10010,35,35,0
533,0.10027,34,34,0
534,0.10044,34,34,0
535,0.10061,34,34,0
536,0.10078,34,34,0
537,0.10095,34,34,0
538,0.10112,37,34,4
539,0.10129,36,33,0
540,0.10146,36,1,1
541,0.10163,36,1,0
542,0.10180,36,1,0
543,0.10197,36,1,0
544,0.10214,36,1,0
545,0.10231,36,1,1
546,0.10247,36,1,0
547,0.10264,35,1,0
548,0.10281,35,35,0
549,0.10298,34,34,0
550,0.10315,35,1,1
551,0.10332,35,1,0
552,0.10349,38,1,4
553,0.10366,38,1,0
554,0.10383,38,1,0
555,0.10400,38,35,0
556,0.10417,38,35,0
557,0.10434,37,35,0
558,0.10451,37,35,0
559,0.10468,36,34,0
560,0.10485,36,36,0
561,0.10502,36,36,0
562,0.10519,36,36,0
563,0.10536,35,35,0
564,0.10553,35,35,0
565,0.10570,35,35,0
566,0.10587,35,35,0
567,0.10604,35,35,0
568,0.10621,35,35,0
569,0.10638,35,35,0
570,0.10655,35,35,0
571,0.10672,35,35,0
572,0.10689,35,1,1
573,0.10706,35,1,0
574,0.10723,34,1,0
575,0.10740,34,1,0
576,0.10757,34,1,0
577,0.10774,34,1,0
578,0.10791,34,34,0
579,0.10808,33,33,0
580,0.10825,33,33,0
581,0.10842,32,32,0
582,0.10859,32,32,0
583,0.10876,32,32,0
584,0.10893,32,32,0
585,0.10910,32,32,0
586,0.10927,32,32,0
587,0.10944,36,1,5
588,0.10961,36,1,0
589,0.10978,36,1,0
590,0.10995,36,1,0
591,0.11012,36,1,0
592,0.11029,35,32,0
593,0.11046,35,35,0
594,0.11063,35,35,0
595,0.11080,35,35,0
596,0.11097,35,35,0
597,0.11114,38,35,4
598,0.11131,38,35,0
599,0.11148,38,35,0
600,0.11165,38,35,0
601,0.11182,38,35,0
602,0.11199,38,38,0
603,0.11215,37,37,1
604,0.11232,37,37,0
605,0.11249,37,37,0
606,0.11266,37,37,0
607,0.11283,37,37,0
608,0.11300,37,37,0
609,0.11317,37,36,2
610,0.11334,37,36,0
611,0.11351,36,35,0
612,0.11368,36,35,0
613,0.11385,36,35,0
614,0.11402,36,36,0
615,0.11419,36,36,0
616,0.11436,36,36,0
617,0.11452,36,36,0
618,0.11469,36,36,0
619,0.11486,36,36,0
620,0.11503,36,36,0
621,0.11520,35,35,0
622,0.11537,35,35,0
623,0.11553,34,34,0
624,0.11570,34,34,0
625,0.11587,34,34,0
626,0.11604,34,34,0
627,0.11621,34,34,0
628,0.11638,33,33,0
629,0.11655,33,33,0
630,0.11672,33,33,0
631,0.11689,33,33,0
632,0.11706,33,33,0
633,0.11723,33,33,0
634,0.11740,33,33,0
635,0.11757,33,33,0
636,0.11774,33,33,0
637,0.11791,33,33,0
638,0.11808,33,33,0
639,0.11825,33,33,0
640,0.11842,33,33,0
641,0.11859,32,32,0
642,0.11876,32,32,0
643,0.11893,32,32,0
644,0.11910,32,32,0
645,0.11927,32,32,0
646,0.11944,32,32,0
647,0.11961,32,32,0
648,0.11978,32,32,0
649,0.11995,32,32,0
650,0.12012,32,32,0
651,0.12029,32,32,0
652,0.12046,32,32,0
653,0.12063,31,31,0
654,0.12079,31,31,0
655,0.12096,31,31,0
656,0.12113,31,31,0
657,0.12130,31,31,0
658,0.12147,31,31,0
659,0.12164,31,31,0
660,0.12181,31,31,0
661,0.12198,31,31,0
662,0.12215,30,30,0
663,0.12232,30,30,0
664,0.12249,30,30,0
665,0.12266,30,30,0
666,0.12283,31,1,1
667,0.12300,31,1,0
668,0.12317,31,1,0
669,0.12334,31,1,0
670,0.12351,30,1,0
671,0.12368,30,30,0
672,0.12384,30,30,0
673,0.12401,30,30,0
674,0.12418,30,30,0
675,0.12435,30,30,0
676,0.12452,30,30,0
677,0.12469,30,30,1
678,0.12486,29,29,0
679,0.12503,29,29,0
680,0.12520,29,29,0
681,0.12537,29,29,0
682,0.12554,29,29,0
683,0.12571,29,29,0
684,0.12588,29,29,0
685,0.12605,29,29,0
686,0.12622,28,28,0
687,0.12639,28,28,0
688,0.12656,28,28,0
689,0.12673,28,28,0
690,0.12690,28,28,0
691,0.12707,28,28,0
692,0.12724,28,28,0
693,0.12740,28,28,0
694,0.12758,28,28,0
695,0.12775,28,28,0
696,0.12791,28,28,0
697,0.12808,28,28,0
698,0.12825,29,28,2
699,0.12842,29,28,0
700,0.12859,29,28,0
701,0.12876,29,28,0
702,0.12893,29,28,0
703,0.12910,29,28,0
704,0.12927,29,29,0
705,0.12944,29,29,0
706,0.12961,29,29,0
707,0.12978,29,29,0
708,0.12995,29,29,0
