case_id,lat,lon,alt,pitch,yaw,roll,rendered,hit,false_positives,false_negatives
6253,-22.019596,82.94864,8.164683,0.015800476,306.39026,148.35913,0,0,0,0
6254,-79.49688,-151.86877,9.925819,-76.875046,153.22878,-133.3124,0,0,0,0
6255,48.85434,-67.37918,9.406656,-68.074814,121.57099,59.473495,0,0,0,0
6256,-45.656593,-94.96814,4.088488,23.9645,37.41175,-102.70564,8,6,2,0
6257,23.755928,97.16571,0.29864413,23.685036,288.44946,-42.69716,6,4,2,0
6258,42.054382,106.439026,7.4304447,32.176903,77.099945,84.78961,0,0,0,0
6259,71.32153,165.37534,4.288547,84.74362,228.79898,51.936584,0,0,0,0
6260,65.64284,-171.82466,4.023314,-44.98311,245.27617,132.13464,12,11,1,0
6261,-77.42908,44.575058,5.2994647,50.862488,161.58421,-173.43942,11,11,0,0
6262,-47.940243,-72.66498,0.9477915,60.54155,89.45708,-111.03513,15,10,5,0
6263,43.92189,-135.72629,6.9991026,43.78311,10.546554,-132.682,0,0,0,0
6264,10.57518,71.265686,5.321842,7.8337326,23.751297,49.59561,0,0,0,0
6265,83.7301,-118.4288,7.7039466,39.428955,193.70369,-101.94699,0,0,0,0
6266,-12.649643,171.7457,8.76054,-13.770615,315.01904,54.347504,2,2,0,0
6267,-44.676804,67.699036,5.136953,-48.17012,81.638145,169.31213,0,0,0,0
6268,-73.57407,-111.26845,9.736297,13.236206,255.00838,28.567612,0,0,0,0
6269,-48.002254,-134.93124,7.757507,84.95694,81.44996,120.9787,3,3,0,0
6270,18.844818,-21.948975,6.808233,65.83127,100.343056,3.7206726,0,0,0,0
6271,71.947784,134.20294,1.8823915,-30.345257,73.24832,-152.0853,5,5,0,0
6272,64.12869,-12.583893,8.189434,-15.17495,172.23677,-165.07422,0,0,0,0
6273,-36.406124,39.924225,6.3165264,-52.141018,336.05737,-92.014114,0,0,0,0
6274,60.826645,-144.8684,5.620862,-63.02069,237.80914,79.31329,6,6,0,0
6275,-75.71888,76.177216,8.712221,11.286606,30.011082,141.84442,0,0,0,0
6276,-84.64504,95.87396,3.0206366,-75.43353,224.87819,-130.42296,0,0,0,0
6277,27.81527,-161.14212,0.3756919,-13.213821,271.71198,63.84439,14,14,0,0
6278,40.84655,27.915314,2.877473,-62.9422,172.10439,147.09698,8,6,2,0
6279,-61.19468,126.02603,8.739597,-14.464142,209.62929,-126.534874,0,0,0,0
6280,70.229004,66.16803,5.8570056,44.628082,286.3612,-170.99309,0,0,0,0
6281,-25.718418,-45.124405,9.220338,78.276566,156.41081,146.61746,0,0,0,0
6282,-79.750175,155.42432,1.5897491,-41.835823,269.20743,-66.41714,0,0,0,0
6283,-64.44217,54.837555,0.67887205,3.767807,4.9840593,156.20755,0,0,0,0
6284,5.6677017,-171.83359,1.1094561,-34.53511,44.33562,178.32642,0,0,0,0
6285,-74.193565,6.190811,1.2037946,-57.346397,325.32135,-98.66626,0,0,0,0
6286,-4.6713867,61.32184,3.91061,-21.680061,147.87274,15.118561,10,9,1,0
6287,-68.685005,43.555893,3.4354367,13.926147,308.74405,-145.50885,0,0,0,0
6288,-35.65465,-3.6607666,5.0938115,-49.844856,133.40674,-43.18112,0,0,0,0
6289,-83.10648,-86.35363,1.1497262,-23.825432,136.64082,86.15903,0,0,0,0
6290,19.099342,36.959152,0.5678048,-71.06838,273.6151,-140.31508,8,7,1,0
6291,18.40062,-133.34692,1.3205665,-59.193626,320.4749,156.14606,13,12,1,0
6292,-45.71645,-110.94444,0.7768951,34.98635,50.369835,-84.01306,14,12,2,0
6293,-52.142326,-49.363693,8.379479,69.429016,9.955648,171.06824,7,7,0,0
6294,33.705025,-3.0776672,5.922505,-21.49833,335.1939,121.19302,0,0,0,0
6295,-0.880394,-11.69928,9.891264,-27.42078,316.24872,-102.66508,0,0,0,0
6296,-50.933952,160.38025,8.147625,-63.70883,51.944504,-169.90068,0,0,0,0
6297,-35.42899,-174.47209,5.364425,11.987251,67.10078,109.01724,0,0,0,0
6298,23.442574,7.0792236,8.652899,-27.41055,163.59753,-173.71906,2,2,0,0
6299,-34.183483,-108.95789,2.4151063,-86.43589,300.75308,-0.025238037,0,0,0,0
6300,-71.32144,-35.629135,0.21310852,-86.46664,195.00902,59.237747,0,0,0,0
6301,-66.166046,36.583405,7.0033026,43.29866,55.519066,59.614685,4,3,1,0
6302,-81.5848,25.126312,8.062786,10.022118,313.52774,-26.389252,0,0,0,0
6303,-43.4408,116.96396,6.9600797,-56.74742,301.90094,101.658905,0,0,0,0
6304,-69.0264,171.87448,4.6197343,68.64375,119.33474,164.84375,7,7,0,0
6305,14.371399,99.38193,0.52456135,-70.15971,194.12065,-134.706,17,16,1,0
