Frame,Progress,VisibleTiles,DisplayedTiles,TextureChanges,FastFlickers
508,0.09597,40,40,0,0
509,0.09614,40,40,0,0
510,0.09631,39,39,0,0
511,0.09648,39,39,0,0
512,0.09665,39,39,0,0
513,0.09682,39,39,0,0
514,0.09699,39,39,0,0
515,0.09716,39,39,0,0
516,0.09733,38,38,0,0
517,0.09750,38,38,1,0
518,0.09767,38,38,0,0
519,0.09784,38,38,0,0
520,0.09800,38,38,0,0
521,0.09817,38,38,0,0
522,0.09834,38,38,0,0
523,0.09851,38,38,0,0
524,0.09868,37,37,0,0
525,0.09885,37,37,0,0
526,0.09902,36,36,0,0
527,0.09919,36,36,0,0
528,0.09936,36,36,0,0
529,0.09953,36,36,0,0
530,0.09970,36,36,0,0
531,0.09987,35,35,0,0
532,0.10004,35,35,0,0
533,0.10021,34,34,0,0
534,0.10038,34,34,0,0
535,0.10055,34,34,1,0
536,0.10072,34,34,0,0
537,0.10089,34,34,0,0
538,0.10106,37,37,0,0
539,0.10123,37,37,0,0
540,0.10140,36,36,0,0
541,0.10157,36,36,0,0
542,0.10174,36,36,0,0
543,0.10191,36,36,0,0
544,0.10208,36,36,4,0
545,0.10225,36,36,0,0
546,0.10242,36,36,0,0
547,0.10259,35,35,0,0
548,0.10276,35,35,0,0
549,0.10293,35,35,0,0
550,0.10310,35,35,0,0
551,0.10327,35,35,0,0
552,0.10344,38,38,0,0
553,0.10361,38,38,0,0
554,0.10378,38,38,0,0
555,0.10395,38,38,0,0
556,0.10412,38,38,4,4
557,0.10429,37,37,0,0
558,0.10446,37,37,0,0
559,0.10463,37,37,0,0
560,0.10480,36,36,0,0
561,0.10497,36,36,0,0
562,0.10514,36,36,0,0
563,0.10531,35,35,0,0
564,0.10548,35,35,0,0
565,0.10565,35,35,0,0
566,0.10582,35,35,0,0
567,0.10598,35,35,0,0
568,0.10615,35,35,0,0
569,0.10632,35,35,0,0
570,0.10650,35,35,0,0
571,0.10667,35,35,0,0
572,0.10684,34,34,0,0
573,0.10701,35,35,0,0
574,0.10718,34,34,0,0
575,0.10735,34,34,0,0
576,0.10752,34,34,0,0
577,0.10769,34,34,2,1
578,0.10786,34,34,0,0
579,0.10803,33,33,0,0
580,0.10820,33,33,0,0
581,0.10836,33,33,0,0
582,0.10853,32,32,0,0
583,0.10870,32,32,0,0
584,0.10888,32,32,0,0
585,0.10905,32,32,0,0
586,0.10921,32,32,0,0
587,0.10939,35,35,0,0
588,0.10956,36,36,0,0
589,0.10972,36,36,0,0
590,0.10990,36,36,0,0
591,0.11006,36,36,4,4
592,0.11024,35,35,0,0
593,0.11041,35,35,0,0
594,0.11058,35,35,0,0
595,0.11075,35,35,0,0
596,0.11092,35,35,0,0
597,0.11109,38,38,0,0
598,0.11125,38,38,0,0
599,0.11142,38,38,0,0
600,0.11159,38,38,0,0
601,0.11177,38,38,0,0
602,0.11194,38,38,4,4
603,0.11210,37,37,0,0
604,0.11227,37,37,0,0
605,0.11244,37,37,1,0
606,0.11262,37,37,0,0
607,0.11279,37,37,0,0
608,0.11295,37,37,0,0
609,0.11312,36,36,0,0
610,0.11329,37,37,0,0
611,0.11346,36,36,0,0
612,0.11363,36,36,0,0
613,0.11380,36,36,0,0
614,0.11397,36,36,0,0
615,0.11414,36,36,0,0
616,0.11431,36,36,0,0
617,0.11448,36,36,0,0
618,0.11464,36,36,0,0
619,0.11481,36,36,0,0
620,0.11498,36,36,0,0
621,0.11515,36,36,0,0
622,0.11533,35,35,1,0
623,0.11549,34,34,0,0
624,0.11567,34,34,0,0
625,0.11584,34,34,0,0
626,0.11601,34,34,0,0
627,0.11618,34,34,0,0
628,0.11635,33,33,0,0
629,0.11652,33,33,0,0
630,0.11668,33,33,0,0
631,0.11686,33,33,0,0
632,0.11703,33,33,1,0
633,0.11720,33,33,0,0
634,0.11736,33,33,0,0
635,0.11753,33,33,0,0
636,0.11770,33,33,0,0
637,0.11787,33,33,0,0
638,0.11804,33,33,0,0
639,0.11821,33,33,0,0
640,0.11838,33,33,0,0
641,0.11855,32,32,0,0
642,0.11872,32,32,0,0
643,0.11889,32,32,0,0
644,0.11906,32,32,0,0
645,0.11923,32,32,0,0
646,0.11940,32,32,0,0
647,0.11957,32,32,0,0
648,0.11974,32,32,0,0
649,0.11990,32,32,0,0
650,0.12007,32,32,0,0
651,0.12024,32,32,0,0
652,0.12041,32,32,0,0
653,0.12058,31,31,0,0
654,0.12075,31,31,0,0
655,0.12092,31,31,0,0
656,0.12109,31,31,0,0
657,0.12126,31,31,0,0
658,0.12143,31,31,0,0
659,0.12160,31,31,0,0
660,0.12177,31,31,0,0
661,0.12194,31,31,0,0
662,0.12211,30,30,0,0
663,0.12228,30,30,0,0
664,0.12245,30,30,0,0
665,0.12262,30,30,0,0
666,0.12279,30,30,0,0
667,0.12296,31,31,0,0
668,0.12313,31,31,0,0
669,0.12330,31,31,0,0
